original_path,medium_id,original_url,new_dir,date,title
/the-continued-existence-of-the-emacs-ipython-notebook-54bd1c371d57,54bd1c371d57,https://blog.jupyter.org/the-continued-existence-of-the-emacs-ipython-notebook-54bd1c371d57,2017-02-23-the-continued-existence-of-the-emacs-ipython-notebook,2017-02-23,The Continued Existence of the Emacs IPython Notebook
/2017/02/23/the-continued-existence-of-the-emacs-ipython-notebook,54bd1c371d57,https://blog.jupyter.org/2017/02/23/the-continued-existence-of-the-emacs-ipython-notebook,2017-02-23-the-continued-existence-of-the-emacs-ipython-notebook,2017-02-23,The Continued Existence of the Emacs IPython Notebook
/nbviewer-and-githubs-rate-limit-e5f544bf81b6,e5f544bf81b6,https://blog.jupyter.org/nbviewer-and-githubs-rate-limit-e5f544bf81b6,2017-03-01-nbviewer-and-githubs-rate-limit,2017-03-01,nbviewer and GitHub’s rate limit
/2017/03/01/nbviewer-and-githubs-rate-limit,e5f544bf81b6,https://blog.jupyter.org/2017/03/01/nbviewer-and-githubs-rate-limit,2017-03-01-nbviewer-and-githubs-rate-limit,2017-03-01,nbviewer and GitHub’s rate limit
/2017/03/01/ipywidgets-6-release,,https://blog.jupyter.org/2017/03/01/ipywidgets-6-release,2017-03-01-ipywidgets-6-release,2017-03-01,Release of ipywidgets 6.0
/2017/03/01/ipywidgets-6-release,,https://blog.jupyter.org/2017/03/01/ipywidgets-6-release,2017-03-01-ipywidgets-6-release,2017-03-01,Release of ipywidgets 6.0
/ibm-brings-jupyter-and-spark-to-the-mainframe-74bec140245f,74bec140245f,https://blog.jupyter.org/ibm-brings-jupyter-and-spark-to-the-mainframe-74bec140245f,2017-03-30-ibm-brings-jupyter-and-spark-to-the-mainframe,2017-03-30,IBM Brings Jupyter and Spark to the Mainframe
/2017/03/30/ibm-brings-jupyter-and-spark-to-the-mainframe,74bec140245f,https://blog.jupyter.org/2017/03/30/ibm-brings-jupyter-and-spark-to-the-mainframe,2017-03-30-ibm-brings-jupyter-and-spark-to-the-mainframe,2017-03-30,IBM Brings Jupyter and Spark to the Mainframe
/jupyter-notebook-5-0-909c6c172d78,909c6c172d78,https://blog.jupyter.org/jupyter-notebook-5-0-909c6c172d78,2017-04-04-jupyter-notebook-5-0,2017-04-04,Jupyter Notebook 5.0
/2017/04/04/jupyter-notebook-5-0,909c6c172d78,https://blog.jupyter.org/2017/04/04/jupyter-notebook-5-0,2017-04-04-jupyter-notebook-5-0,2017-04-04,Jupyter Notebook 5.0
/2017/04/19/release-of-ipython-6-0,,https://blog.jupyter.org/2017/04/19/release-of-ipython-6-0,2017-04-19-release-of-ipython-6-0,2017-04-19,Release of IPython 6.0
/2017/04/19/release-of-ipython-6-0,,https://blog.jupyter.org/2017/04/19/release-of-ipython-6-0,2017-04-19-release-of-ipython-6-0,2017-04-19,Release of IPython 6.0
